dataset	algorithm	proc	n_edges	GS_src	AUPR
zhao_GSE114952	inferelator	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.08721562102145022
zhao_GSE114952	inferelator	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.11290044459937268
zhao_GSE114952	inferelator	normalized	all_edges	mESC_lit	0.18132585418515929
jackson_GSE125162	inferelator	normalized	all_edges	hu	0.016179639219761902
jackson_GSE125162	inferelator	normalized	all_edges	mac2	0.021181642923468674
jackson_GSE125162	inferelator	normalized	all_edges	yeastract_c3	0.019961527239437997
jackson_GSE125162	inferelator	normalized	all_edges	yeastract_t2	0.020618678771299293
jackson_GSE125162	inferelator	normalized	all_edges	yeast_chipunion	0.033067258099079525
jackson_GSE125162	inferelator	normalized	all_edges	yeast_KDUnion	0.023537238910407758
jackson_GSE125162	inferelator	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.018567963255060747
gasch_GSE102475	knnDREMI	normalized	all_edges	hu	0.025410592671960965
gasch_GSE102475	knnDREMI	normalized	all_edges	mac2	0.02382373201109291
gasch_GSE102475	knnDREMI	normalized	all_edges	yeastract_c3	0.027504855347166995
gasch_GSE102475	knnDREMI	normalized	all_edges	yeastract_t2	0.02556821280052635
gasch_GSE102475	knnDREMI	normalized	all_edges	yeast_chipunion	0.03668474487045402
gasch_GSE102475	knnDREMI	normalized	all_edges	yeast_KDUnion	0.03166479660953439
gasch_GSE102475	knnDREMI	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.026799207243135472
han_GSE107552	knnDREMI	normalized	all_edges	hESC_encodechip	0.4196025289761305
han_GSE107552	knnDREMI	normalized	all_edges	hESC_escapechip	0.13700990196315843
han_GSE107552	knnDREMI	normalized	all_edges	hESC_chipunion	0.31684789831464966
han_GSE107552	knnDREMI	normalized	all_edges	hESC_logof	0.13676144761023107
han_GSE107552	knnDREMI	normalized	all_edges	hESC_nishiyama	0.08362541588390476
han_GSE107552	knnDREMI	normalized	all_edges	hESC_KDUnion	0.09576735695537038
han_GSE107552	knnDREMI	normalized	all_edges	hESC_chipunion_KDUnion_intersect	0.05890116573728667
han_GSE107552	knnDREMI	normalized	all_edges	hESC_lit	0.08481853456184758
sridharan_A2S	knnDREMI	normalized	all_edges	mESC_escapechip	0.1631873341866891
sridharan_A2S	knnDREMI	normalized	all_edges	mESC_encodechip	0.5426765482488375
sridharan_A2S	knnDREMI	normalized	all_edges	mESC_chipunion	0.16676665398455848
sridharan_A2S	knnDREMI	normalized	all_edges	mESC_logof	0.15474039245528118
sridharan_A2S	knnDREMI	normalized	all_edges	mESC_nishiyama	0.07834566400716815
sridharan_A2S	knnDREMI	normalized	all_edges	mESC_KDUnion	0.09447510810285728
sridharan_A2S	knnDREMI	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.088404484354486
sridharan_A2S	knnDREMI	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.11179981098512241
sridharan_A2S	knnDREMI	normalized	all_edges	mESC_lit	0.10141706895474498
sridharan_FBS	knnDREMI	normalized	all_edges	mESC_escapechip	0.16565374470757374
sridharan_FBS	knnDREMI	normalized	all_edges	mESC_encodechip	0.5499338275191634
sridharan_FBS	knnDREMI	normalized	all_edges	mESC_chipunion	0.16853250450495122
sridharan_FBS	knnDREMI	normalized	all_edges	mESC_logof	0.1333546278428589
sridharan_FBS	knnDREMI	normalized	all_edges	mESC_nishiyama	0.06559594567984171
sridharan_FBS	knnDREMI	normalized	all_edges	mESC_KDUnion	0.08052329222464442
sridharan_FBS	knnDREMI	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.07654768199793063
sridharan_FBS	knnDREMI	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.11946941881537915
sridharan_FBS	knnDREMI	normalized	all_edges	mESC_lit	0.096805977189979
shalek_GSE48968	knnDREMI	normalized	all_edges	mDC_chipunion	0.4533167540333587
shalek_GSE48968	knnDREMI	normalized	all_edges	mDC_KDUnion	0.36535573841621566
shalek_GSE48968	knnDREMI	normalized	all_edges	mDC_chipunion_KDUnion_intersect	0.3341770613322207
zhao_GSE114952	knnDREMI	normalized	all_edges	mESC_escapechip	0.15142677175522956
zhao_GSE114952	knnDREMI	normalized	all_edges	mESC_encodechip	0.6628551241955367
zhao_GSE114952	knnDREMI	normalized	all_edges	mESC_chipunion	0.1521065712437412
zhao_GSE114952	knnDREMI	normalized	all_edges	mESC_logof	0.10975040316114051
zhao_GSE114952	knnDREMI	normalized	all_edges	mESC_nishiyama	0.06290978460007127
zhao_GSE114952	knnDREMI	normalized	all_edges	mESC_KDUnion	0.07498681900987578
zhao_GSE114952	knnDREMI	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.04973075893408018
zhao_GSE114952	knnDREMI	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.12541934261555956
zhao_GSE114952	knnDREMI	normalized	all_edges	mESC_lit	0.07632734245292502
jackson_GSE125162	knnDREMI	normalized	all_edges	hu	0.014637627355885344
jackson_GSE125162	knnDREMI	normalized	all_edges	mac2	0.019139608310569295
jackson_GSE125162	knnDREMI	normalized	all_edges	yeastract_c3	0.01610107762050182
jackson_GSE125162	knnDREMI	normalized	all_edges	yeastract_t2	0.015855458128964807
jackson_GSE125162	knnDREMI	normalized	all_edges	yeast_chipunion	0.029364438831237853
jackson_GSE125162	knnDREMI	normalized	all_edges	yeast_KDUnion	0.01911832767606079
jackson_GSE125162	knnDREMI	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.016761440939645017
gasch_GSE102475	LEAP	normalized	all_edges	hu	0.028589359542877307
gasch_GSE102475	LEAP	normalized	all_edges	mac2	0.023425574658700675
gasch_GSE102475	LEAP	normalized	all_edges	yeastract_c3	0.029767333120015976
gasch_GSE102475	LEAP	normalized	all_edges	yeastract_t2	0.031371745552752996
gasch_GSE102475	LEAP	normalized	all_edges	yeast_chipunion	0.04122590189316726
gasch_GSE102475	LEAP	normalized	all_edges	yeast_KDUnion	0.03596443824259196
gasch_GSE102475	LEAP	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.029114016980323575
han_GSE107552	LEAP	normalized	all_edges	hESC_encodechip	0.3904737675812306
han_GSE107552	LEAP	normalized	all_edges	hESC_escapechip	0.1715821637672748
han_GSE107552	LEAP	normalized	all_edges	hESC_chipunion	0.2996743589652272
han_GSE107552	LEAP	normalized	all_edges	hESC_logof	0.1786003530921517
han_GSE107552	LEAP	normalized	all_edges	hESC_nishiyama	0.1095575363853497
han_GSE107552	LEAP	normalized	all_edges	hESC_KDUnion	0.1256357605123278
han_GSE107552	LEAP	normalized	all_edges	hESC_chipunion_KDUnion_intersect	0.09440598776712114
han_GSE107552	LEAP	normalized	all_edges	hESC_lit	0.16482482213355484
sridharan_A2S	LEAP	normalized	all_edges	mESC_escapechip	0.1883035107083597
sridharan_A2S	LEAP	normalized	all_edges	mESC_encodechip	0.6166144876454486
sridharan_A2S	LEAP	normalized	all_edges	mESC_chipunion	0.19180070259267923
sridharan_A2S	LEAP	normalized	all_edges	mESC_logof	0.14922346520234142
sridharan_A2S	LEAP	normalized	all_edges	mESC_nishiyama	0.06974828706503045
sridharan_A2S	LEAP	normalized	all_edges	mESC_KDUnion	0.0878029819591765
sridharan_A2S	LEAP	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.09764776810737853
sridharan_A2S	LEAP	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.1086545626410421
sridharan_A2S	LEAP	normalized	all_edges	mESC_lit	0.20246296147060117
sridharan_FBS	LEAP	normalized	all_edges	mESC_escapechip	0.17396973780403674
sridharan_FBS	LEAP	normalized	all_edges	mESC_encodechip	0.6305438536316609
sridharan_FBS	LEAP	normalized	all_edges	mESC_chipunion	0.17845493275631277
sridharan_FBS	LEAP	normalized	all_edges	mESC_logof	0.13673475819351977
sridharan_FBS	LEAP	normalized	all_edges	mESC_nishiyama	0.07382232357936266
sridharan_FBS	LEAP	normalized	all_edges	mESC_KDUnion	0.09137872431530171
sridharan_FBS	LEAP	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.09112748090385857
sridharan_FBS	LEAP	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.11644194107581372
sridharan_FBS	LEAP	normalized	all_edges	mESC_lit	0.24357437218173006
shalek_GSE48968	LEAP	normalized	all_edges	mDC_chipunion	0.442583597282417
shalek_GSE48968	LEAP	normalized	all_edges	mDC_KDUnion	0.19170505317783493
shalek_GSE48968	LEAP	normalized	all_edges	mDC_chipunion_KDUnion_intersect	0.3411111121133662
zhao_GSE114952	LEAP	normalized	all_edges	mESC_escapechip	0.18805364156386192
zhao_GSE114952	LEAP	normalized	all_edges	mESC_encodechip	0.4990466704908767
zhao_GSE114952	LEAP	normalized	all_edges	mESC_chipunion	0.19085424815178903
zhao_GSE114952	LEAP	normalized	all_edges	mESC_logof	0.14977154123371017
zhao_GSE114952	LEAP	normalized	all_edges	mESC_nishiyama	0.0820780702223453
zhao_GSE114952	LEAP	normalized	all_edges	mESC_KDUnion	0.09974782062503984
zhao_GSE114952	LEAP	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.11503073883935436
zhao_GSE114952	LEAP	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.10510488451571387
zhao_GSE114952	LEAP	normalized	all_edges	mESC_lit	0.21275072075812396
jackson_GSE125162	LEAP	normalized	all_edges	hu	0.015489659572783579
jackson_GSE125162	LEAP	normalized	all_edges	mac2	0.021248547940256556
jackson_GSE125162	LEAP	normalized	all_edges	yeastract_c3	0.019505322916804207
jackson_GSE125162	LEAP	normalized	all_edges	yeastract_t2	0.02089901192070069
jackson_GSE125162	LEAP	normalized	all_edges	yeast_chipunion	0.03284690508039189
jackson_GSE125162	LEAP	normalized	all_edges	yeast_KDUnion	0.02691649628884223
jackson_GSE125162	LEAP	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.017465452723590725
gasch_GSE102475	MERLIN	normalized	all_edges	hu	0.028451153189242958
gasch_GSE102475	MERLIN	normalized	all_edges	mac2	0.02564135455261787
gasch_GSE102475	MERLIN	normalized	all_edges	yeastract_c3	0.03108213349283594
gasch_GSE102475	MERLIN	normalized	all_edges	yeastract_t2	0.03135083232375703
gasch_GSE102475	MERLIN	normalized	all_edges	yeast_chipunion	0.04354030827701714
gasch_GSE102475	MERLIN	normalized	all_edges	yeast_KDUnion	0.036074637461970094
gasch_GSE102475	MERLIN	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.030157113029292595
han_GSE107552	MERLIN	normalized	all_edges	hESC_encodechip	0.4380073167141817
han_GSE107552	MERLIN	normalized	all_edges	hESC_escapechip	0.1671075346840237
han_GSE107552	MERLIN	normalized	all_edges	hESC_chipunion	0.3377245623639883
han_GSE107552	MERLIN	normalized	all_edges	hESC_logof	0.13238903071386585
han_GSE107552	MERLIN	normalized	all_edges	hESC_nishiyama	0.07642021168696231
han_GSE107552	MERLIN	normalized	all_edges	hESC_KDUnion	0.08976353016095973
han_GSE107552	MERLIN	normalized	all_edges	hESC_chipunion_KDUnion_intersect	0.0814891338299273
han_GSE107552	MERLIN	normalized	all_edges	hESC_lit	0.12296465941654774
sridharan_A2S	MERLIN	normalized	all_edges	mESC_escapechip	0.19323328628221706
sridharan_A2S	MERLIN	normalized	all_edges	mESC_encodechip	0.6607529737580298
sridharan_A2S	MERLIN	normalized	all_edges	mESC_chipunion	0.1966602193828542
sridharan_A2S	MERLIN	normalized	all_edges	mESC_logof	0.12736815593633524
sridharan_A2S	MERLIN	normalized	all_edges	mESC_nishiyama	0.06551631645815816
sridharan_A2S	MERLIN	normalized	all_edges	mESC_KDUnion	0.08118755266267352
sridharan_A2S	MERLIN	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.09547355571686404
sridharan_A2S	MERLIN	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.11861659389045438
sridharan_A2S	MERLIN	normalized	all_edges	mESC_lit	0.20775343996346657
sridharan_FBS	MERLIN	normalized	all_edges	mESC_escapechip	0.19246581229754506
sridharan_FBS	MERLIN	normalized	all_edges	mESC_encodechip	0.6382425570503414
sridharan_FBS	MERLIN	normalized	all_edges	mESC_chipunion	0.19508717866102673
sridharan_FBS	MERLIN	normalized	all_edges	mESC_logof	0.12683097627018367
sridharan_FBS	MERLIN	normalized	all_edges	mESC_nishiyama	0.06490004957307592
sridharan_FBS	MERLIN	normalized	all_edges	mESC_KDUnion	0.07976345921684073
sridharan_FBS	MERLIN	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.09820089652661225
sridharan_FBS	MERLIN	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.11810323012002877
sridharan_FBS	MERLIN	normalized	all_edges	mESC_lit	0.22145126323413392
shalek_GSE48968	MERLIN	normalized	all_edges	mDC_chipunion	0.47409957747317166
shalek_GSE48968	MERLIN	normalized	all_edges	mDC_KDUnion	0.43511788204374074
shalek_GSE48968	MERLIN	normalized	all_edges	mDC_chipunion_KDUnion_intersect	0.3962269963453945
zhao_GSE114952	MERLIN	normalized	all_edges	mESC_escapechip	0.1826941456378957
zhao_GSE114952	MERLIN	normalized	all_edges	mESC_encodechip	0.6408396192902861
zhao_GSE114952	MERLIN	normalized	all_edges	mESC_chipunion	0.18808608698900753
zhao_GSE114952	MERLIN	normalized	all_edges	mESC_logof	0.14467426160116095
zhao_GSE114952	MERLIN	normalized	all_edges	mESC_nishiyama	0.08760851594706878
zhao_GSE114952	MERLIN	normalized	all_edges	mESC_KDUnion	0.10379019936261906
zhao_GSE114952	MERLIN	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.0973621996591233
zhao_GSE114952	MERLIN	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.11512519024006095
zhao_GSE114952	MERLIN	normalized	all_edges	mESC_lit	0.1830388008237315
jackson_GSE125162	MERLIN	normalized	all_edges	hu	0.01697208808651793
jackson_GSE125162	MERLIN	normalized	all_edges	mac2	0.024559232676831723
jackson_GSE125162	MERLIN	normalized	all_edges	yeastract_c3	0.024088349195234286
jackson_GSE125162	MERLIN	normalized	all_edges	yeastract_t2	0.02406986884265054
jackson_GSE125162	MERLIN	normalized	all_edges	yeast_chipunion	0.035465919466237984
jackson_GSE125162	MERLIN	normalized	all_edges	yeast_KDUnion	0.02844605791150729
jackson_GSE125162	MERLIN	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.02123609072343964
gasch_GSE102475	pearson	normalized	all_edges	hu	0.02977470440145641
gasch_GSE102475	pearson	normalized	all_edges	mac2	0.024725007301195277
gasch_GSE102475	pearson	normalized	all_edges	yeastract_c3	0.031887929845308915
gasch_GSE102475	pearson	normalized	all_edges	yeastract_t2	0.03211985457201109
gasch_GSE102475	pearson	normalized	all_edges	yeast_chipunion	0.04437844690868794
gasch_GSE102475	pearson	normalized	all_edges	yeast_KDUnion	0.04513202429179885
gasch_GSE102475	pearson	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.03169500764205091
han_GSE107552	pearson	normalized	all_edges	hESC_encodechip	0.42434920256314246
han_GSE107552	pearson	normalized	all_edges	hESC_escapechip	0.18689522464922084
han_GSE107552	pearson	normalized	all_edges	hESC_chipunion	0.33501993361746857
han_GSE107552	pearson	normalized	all_edges	hESC_logof	0.15736064304222228
han_GSE107552	pearson	normalized	all_edges	hESC_nishiyama	0.08517532634193344
han_GSE107552	pearson	normalized	all_edges	hESC_KDUnion	0.10348060156785319
han_GSE107552	pearson	normalized	all_edges	hESC_chipunion_KDUnion_intersect	0.09947722421804728
han_GSE107552	pearson	normalized	all_edges	hESC_lit	0.1692644777558689
sridharan_A2S	pearson	normalized	all_edges	mESC_escapechip	0.19352452024646843
sridharan_A2S	pearson	normalized	all_edges	mESC_encodechip	0.6620725497221626
sridharan_A2S	pearson	normalized	all_edges	mESC_chipunion	0.1974439542222734
sridharan_A2S	pearson	normalized	all_edges	mESC_logof	0.14016630693341306
sridharan_A2S	pearson	normalized	all_edges	mESC_nishiyama	0.062233179167682375
sridharan_A2S	pearson	normalized	all_edges	mESC_KDUnion	0.08357168311410638
sridharan_A2S	pearson	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.10235710528765377
sridharan_A2S	pearson	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.12293972757774703
sridharan_A2S	pearson	normalized	all_edges	mESC_lit	0.22198806748303956
sridharan_FBS	pearson	normalized	all_edges	mESC_escapechip	0.19248214487782575
sridharan_FBS	pearson	normalized	all_edges	mESC_encodechip	0.6470261522854608
sridharan_FBS	pearson	normalized	all_edges	mESC_chipunion	0.19619653343106921
sridharan_FBS	pearson	normalized	all_edges	mESC_logof	0.1340253208733143
sridharan_FBS	pearson	normalized	all_edges	mESC_nishiyama	0.06053974334262292
sridharan_FBS	pearson	normalized	all_edges	mESC_KDUnion	0.08190582478557133
sridharan_FBS	pearson	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.10514980219572514
sridharan_FBS	pearson	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.12626086005455617
sridharan_FBS	pearson	normalized	all_edges	mESC_lit	0.25731344378665627
shalek_GSE48968	pearson	normalized	all_edges	mDC_chipunion	0.48488300287596314
shalek_GSE48968	pearson	normalized	all_edges	mDC_KDUnion	0.4527702635564804
shalek_GSE48968	pearson	normalized	all_edges	mDC_chipunion_KDUnion_intersect	0.4148628916794331
zhao_GSE114952	pearson	normalized	all_edges	mESC_escapechip	0.1931934571330611
zhao_GSE114952	pearson	normalized	all_edges	mESC_encodechip	0.6148873266018532
zhao_GSE114952	pearson	normalized	all_edges	mESC_chipunion	0.197970134494369
zhao_GSE114952	pearson	normalized	all_edges	mESC_logof	0.13769069205585419
zhao_GSE114952	pearson	normalized	all_edges	mESC_nishiyama	0.07829170788811395
zhao_GSE114952	pearson	normalized	all_edges	mESC_KDUnion	0.09690302555354532
zhao_GSE114952	pearson	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.11919021713713611
zhao_GSE114952	pearson	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.11529105793107014
zhao_GSE114952	pearson	normalized	all_edges	mESC_lit	0.23246506669767572
jackson_GSE125162	pearson	normalized	all_edges	hu	0.01888689761149243
jackson_GSE125162	pearson	normalized	all_edges	mac2	0.021975458191886725
jackson_GSE125162	pearson	normalized	all_edges	yeastract_c3	0.02089196231359042
jackson_GSE125162	pearson	normalized	all_edges	yeastract_t2	0.021002686010752857
jackson_GSE125162	pearson	normalized	all_edges	yeast_chipunion	0.03492611322495351
jackson_GSE125162	pearson	normalized	all_edges	yeast_KDUnion	0.03761826724456376
jackson_GSE125162	pearson	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.019500379969184165
gasch_GSE102475	PIDC	normalized	all_edges	hu	0.02592717688282658
gasch_GSE102475	PIDC	normalized	all_edges	mac2	0.02641892672665501
gasch_GSE102475	PIDC	normalized	all_edges	yeastract_c3	0.030227054834263065
gasch_GSE102475	PIDC	normalized	all_edges	yeastract_t2	0.028466864164993763
gasch_GSE102475	PIDC	normalized	all_edges	yeast_chipunion	0.0410863809177235
gasch_GSE102475	PIDC	normalized	all_edges	yeast_KDUnion	0.03234658628984688
gasch_GSE102475	PIDC	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.027514819228924698
han_GSE107552	PIDC	normalized	all_edges	hESC_encodechip	0.46364639832440285
han_GSE107552	PIDC	normalized	all_edges	hESC_escapechip	0.18104489354583075
han_GSE107552	PIDC	normalized	all_edges	hESC_chipunion	0.36751064888388335
han_GSE107552	PIDC	normalized	all_edges	hESC_logof	0.14149484965552483
han_GSE107552	PIDC	normalized	all_edges	hESC_nishiyama	0.07477452383903893
han_GSE107552	PIDC	normalized	all_edges	hESC_KDUnion	0.09105286444947547
han_GSE107552	PIDC	normalized	all_edges	hESC_chipunion_KDUnion_intersect	0.09015526265866022
han_GSE107552	PIDC	normalized	all_edges	hESC_lit	0.17163777201932556
sridharan_A2S	PIDC	normalized	all_edges	mESC_escapechip	0.19049944228819077
sridharan_A2S	PIDC	normalized	all_edges	mESC_encodechip	0.6449882969172437
sridharan_A2S	PIDC	normalized	all_edges	mESC_chipunion	0.19309392653734203
sridharan_A2S	PIDC	normalized	all_edges	mESC_logof	0.13124844361732146
sridharan_A2S	PIDC	normalized	all_edges	mESC_nishiyama	0.05966996797088976
sridharan_A2S	PIDC	normalized	all_edges	mESC_KDUnion	0.07780234565151778
sridharan_A2S	PIDC	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.09598375201184711
sridharan_A2S	PIDC	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.12323635402759167
sridharan_A2S	PIDC	normalized	all_edges	mESC_lit	0.17317950875383673
sridharan_FBS	PIDC	normalized	all_edges	mESC_escapechip	0.19023909611965772
sridharan_FBS	PIDC	normalized	all_edges	mESC_encodechip	0.6407936939210289
sridharan_FBS	PIDC	normalized	all_edges	mESC_chipunion	0.1924166546046119
sridharan_FBS	PIDC	normalized	all_edges	mESC_logof	0.12552060307263546
sridharan_FBS	PIDC	normalized	all_edges	mESC_nishiyama	0.056719756979172975
sridharan_FBS	PIDC	normalized	all_edges	mESC_KDUnion	0.07409482888189278
sridharan_FBS	PIDC	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.09222185261819366
sridharan_FBS	PIDC	normalized	all_edges	mESC_ATAC_Day4Day6Union	0.12573624028871622
sridharan_FBS	PIDC	normalized	all_edges	mESC_lit	0.1718135331288968
shalek_GSE48968	PIDC	normalized	all_edges	mDC_chipunion	0.4929349239538197
shalek_GSE48968	PIDC	normalized	all_edges	mDC_KDUnion	0.25400096762099017
shalek_GSE48968	PIDC	normalized	all_edges	mDC_chipunion_KDUnion_intersect	0.4271215037589861
jackson_GSE125162	PIDC	normalized	all_edges	hu	0.017464333490896
jackson_GSE125162	PIDC	normalized	all_edges	mac2	0.024318543628345454
jackson_GSE125162	PIDC	normalized	all_edges	yeastract_c3	0.022907061842266544
jackson_GSE125162	PIDC	normalized	all_edges	yeastract_t2	0.02260270661725458
jackson_GSE125162	PIDC	normalized	all_edges	yeast_chipunion	0.035573827448211
jackson_GSE125162	PIDC	normalized	all_edges	yeast_KDUnion	0.03161661460234621
jackson_GSE125162	PIDC	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.020500874329584848
gasch_GSE102475	SCENIC	normalized	all_edges	hu	0.03179168464159778
gasch_GSE102475	SCENIC	normalized	all_edges	mac2	0.02562258928651839
gasch_GSE102475	SCENIC	normalized	all_edges	yeastract_c3	0.032043790451261794
gasch_GSE102475	SCENIC	normalized	all_edges	yeastract_t2	0.03216818717184057
gasch_GSE102475	SCENIC	normalized	all_edges	yeast_chipunion	0.04469164712512918
gasch_GSE102475	SCENIC	normalized	all_edges	yeast_KDUnion	0.04371574559659589
gasch_GSE102475	SCENIC	normalized	all_edges	yeast_chipunion_KDUnion_intersect	0.030923801304247944
han_GSE107552	SCENIC	normalized	all_edges	hESC_encodechip	0.44598827182913453
han_GSE107552	SCENIC	normalized	all_edges	hESC_escapechip	0.17368927651349644
han_GSE107552	SCENIC	normalized	all_edges	hESC_chipunion	0.3486740864746902
han_GSE107552	SCENIC	normalized	all_edges	hESC_logof	0.14037708326378512
han_GSE107552	SCENIC	normalized	all_edges	hESC_nishiyama	0.07278233557172528
han_GSE107552	SCENIC	normalized	all_edges	hESC_KDUnion	0.08888506247137262
han_GSE107552	SCENIC	normalized	all_edges	hESC_chipunion_KDUnion_intersect	0.09175927041936699
han_GSE107552	SCENIC	normalized	all_edges	hESC_lit	0.14401662378022606
sridharan_A2S	SCENIC	normalized	all_edges	mESC_escapechip	0.19417934287924613
sridharan_A2S	SCENIC	normalized	all_edges	mESC_encodechip	0.6931839275624864
sridharan_A2S	SCENIC	normalized	all_edges	mESC_chipunion	0.19749984042689067
sridharan_A2S	SCENIC	normalized	all_edges	mESC_logof	0.12405441995064319
sridharan_A2S	SCENIC	normalized	all_edges	mESC_nishiyama	0.05881743394495448
sridharan_A2S	SCENIC	normalized	all_edges	mESC_KDUnion	0.07526058499561152
sridharan_A2S	SCENIC	normalized	all_edges	mESC_chipunion_KDUnion_intersect	0.09031504257412212
