dataset	algorithm	proc	n_edges	GS_src	n_TFs	pred_TFs
han_GSE107552	inferelator	normalized	50000	hESC_escapechip	5	EZH2,NANOG,POU5F1,TBX3,ZFP42
han_GSE107552	inferelator	normalized	5000	hESC_chipunion	6	CDX2,CHD1,EGR1,JUN,NANOG,POU5F1
han_GSE107552	inferelator	normalized	10000	hESC_chipunion	6	CDX2,CHD1,EGR1,JUND,POU5F1,TAF7
han_GSE107552	inferelator	normalized	50000	hESC_chipunion	7	CHD1,E2F4,EGR1,NANOG,POU5F1,TAF7,ZFP42
han_GSE107552	inferelator	normalized	5000	hESC_logof	7	EOMES,GATA3,MEF2C,MYC,POU5F1,SOX9,TBX3
han_GSE107552	inferelator	normalized	10000	hESC_logof	4	EOMES,GATA3,POU5F1,TBX3
han_GSE107552	inferelator	normalized	50000	hESC_logof	4	GATA3,OTX2,POU5F1,TBX3
han_GSE107552	inferelator	normalized	5000	hESC_nishiyama	5	ETS1,HNF4A,POU5F1,SOX11,SOX7
han_GSE107552	inferelator	normalized	10000	hESC_nishiyama	10	EOMES,ETS1,GATA3,HESX1,HNF4A,NR2F2,POU5F1,SOX11,SOX2,SOX7
han_GSE107552	inferelator	normalized	50000	hESC_nishiyama	7	ETS1,FOSL2,HESX1,HNF4A,NR2F2,POU5F1,SOX7
han_GSE107552	inferelator	normalized	5000	hESC_KDUnion	8	EOMES,ETS1,HNF4A,OTX2,POU5F1,SOX11,SOX7,TBX3
han_GSE107552	inferelator	normalized	10000	hESC_KDUnion	14	EOMES,ETS1,FOSL2,GATA3,HESX1,HNF4A,NR2F1,NR2F2,OTX2,POU5F1,SOX11,SOX7,SOX9,TBX3
han_GSE107552	inferelator	normalized	50000	hESC_KDUnion	12	EOMES,ETS1,FOSL2,FOXA1,GATA3,HESX1,HNF4A,NR2F2,OTX2,POU5F1,SOX7,TBX3
han_GSE107552	inferelator	normalized	5000	hESC_chipunion_KDUnion_intersect	2	CDX2,POU5F1
han_GSE107552	inferelator	normalized	10000	hESC_chipunion_KDUnion_intersect	1	POU5F1
han_GSE107552	inferelator	normalized	50000	hESC_chipunion_KDUnion_intersect	1	POU5F1
han_GSE107552	inferelator	normalized	5000	hESC_lit	0	NA
han_GSE107552	inferelator	normalized	10000	hESC_lit	0	NA
han_GSE107552	inferelator	normalized	50000	hESC_lit	0	NA
sridharan_A2S	inferelator	normalized	5000	mESC_escapechip	10	E2f4,Esrrb,Klf2,Myc,Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Zfx
sridharan_A2S	inferelator	normalized	10000	mESC_escapechip	15	Chd1,E2f4,Esrrb,Klf2,Klf4,Klf5,Myc,Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Yy1,Zfp42,Zfx
sridharan_A2S	inferelator	normalized	50000	mESC_escapechip	11	Klf2,Klf4,Myc,Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Yy1,Zfp42,Zfx
sridharan_A2S	inferelator	normalized	5000	mESC_encodechip	0	NA
sridharan_A2S	inferelator	normalized	10000	mESC_encodechip	0	NA
sridharan_A2S	inferelator	normalized	50000	mESC_encodechip	0	NA
sridharan_A2S	inferelator	normalized	5000	mESC_chipunion	9	E2f4,Esrrb,Klf2,Myc,Nanog,Nr0b1,Sall4,Sox2,Zfx
sridharan_A2S	inferelator	normalized	10000	mESC_chipunion	15	Chd1,E2f4,Esrrb,Klf2,Klf4,Klf5,Myc,Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Yy1,Zfp42,Zfx
sridharan_A2S	inferelator	normalized	50000	mESC_chipunion	11	Klf2,Klf4,Myc,Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Yy1,Zfp42,Zfx
sridharan_A2S	inferelator	normalized	5000	mESC_logof	7	Esrrb,Id1,Jarid2,Myc,Nanog,Sall4,Sox2
sridharan_A2S	inferelator	normalized	10000	mESC_logof	11	Esrrb,Id1,Jarid2,Myc,Nanog,Nr0b1,Otx2,Pou5f1,Sall4,Smad7,Sox2
sridharan_A2S	inferelator	normalized	50000	mESC_logof	11	Esrrb,Id1,Jarid2,Myc,Nanog,Nr0b1,Otx2,Pou5f1,Sall4,Smad7,Sox2
sridharan_A2S	inferelator	normalized	5000	mESC_nishiyama	4	Esrrb,Fosl2,Nanog,Sox2
sridharan_A2S	inferelator	normalized	10000	mESC_nishiyama	7	Esrrb,Fosl2,Hmga2,Id1,Nanog,Sox2,Zic1
sridharan_A2S	inferelator	normalized	50000	mESC_nishiyama	13	Ascl2,Esrrb,Fosl2,Gbx2,Id1,Myc,Nanog,Otx2,Pou5f1,Sall4,Sox11,Sox2,Zic1
sridharan_A2S	inferelator	normalized	5000	mESC_KDUnion	6	Esrrb,Fosl2,Jarid2,Nanog,Sox11,Sox2
sridharan_A2S	inferelator	normalized	10000	mESC_KDUnion	9	Esrrb,Fosl2,Hmga2,Id1,Jarid2,Nanog,Sall4,Sox2,Zic1
sridharan_A2S	inferelator	normalized	50000	mESC_KDUnion	15	Ascl2,Esrrb,Fosl2,Gbx2,Id1,Jarid2,Myc,Nanog,Nr0b1,Otx2,Pou5f1,Sall4,Sox11,Sox2,Zic1
sridharan_A2S	inferelator	normalized	5000	mESC_chipunion_KDUnion_intersect	4	Esrrb,Myc,Nanog,Sox2
sridharan_A2S	inferelator	normalized	10000	mESC_chipunion_KDUnion_intersect	4	Esrrb,Myc,Nanog,Sox2
sridharan_A2S	inferelator	normalized	50000	mESC_chipunion_KDUnion_intersect	1	Sox2
sridharan_A2S	inferelator	normalized	5000	mESC_ATAC_Day4Day6Union	0	NA
sridharan_A2S	inferelator	normalized	10000	mESC_ATAC_Day4Day6Union	1	Fosl2
sridharan_A2S	inferelator	normalized	50000	mESC_ATAC_Day4Day6Union	1	Fosl2
sridharan_A2S	inferelator	normalized	5000	mESC_lit	0	NA
sridharan_A2S	inferelator	normalized	10000	mESC_lit	0	NA
sridharan_A2S	inferelator	normalized	50000	mESC_lit	0	NA
sridharan_FBS	inferelator	normalized	5000	mESC_escapechip	7	E2f4,Esrrb,Klf2,Nanog,Nr0b1,Sall4,Sox2
sridharan_FBS	inferelator	normalized	10000	mESC_escapechip	9	Chd1,E2f4,Esrrb,Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Zfx
sridharan_FBS	inferelator	normalized	50000	mESC_escapechip	6	Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Zfx
sridharan_FBS	inferelator	normalized	5000	mESC_encodechip	0	NA
sridharan_FBS	inferelator	normalized	10000	mESC_encodechip	0	NA
sridharan_FBS	inferelator	normalized	50000	mESC_encodechip	0	NA
sridharan_FBS	inferelator	normalized	5000	mESC_chipunion	7	E2f4,Esrrb,Klf2,Nanog,Nr0b1,Sall4,Sox2
sridharan_FBS	inferelator	normalized	10000	mESC_chipunion	9	Chd1,E2f4,Esrrb,Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Zfx
sridharan_FBS	inferelator	normalized	50000	mESC_chipunion	6	Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Zfx
sridharan_FBS	inferelator	normalized	5000	mESC_logof	7	Esrrb,Id1,Jarid2,Nanog,Nr0b1,Sall4,Sox2
sridharan_FBS	inferelator	normalized	10000	mESC_logof	10	Esrrb,Id1,Jarid2,Mef2c,Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Tuba1a
sridharan_FBS	inferelator	normalized	50000	mESC_logof	10	Id1,Jarid2,Mef2c,Nanog,Nr0b1,Pou5f1,Sall4,Sox2,Sox9,Tuba1a
sridharan_FBS	inferelator	normalized	5000	mESC_nishiyama	8	Esrrb,Fosl2,Foxc1,Mycn,Nanog,Smad7,Sox2,Zic1
sridharan_FBS	inferelator	normalized	10000	mESC_nishiyama	11	Esrrb,Fosl2,Foxc1,Id1,Jun,Mycn,Nanog,Nr0b1,Sall4,Sox2,Stat3
sridharan_FBS	inferelator	normalized	50000	mESC_nishiyama	11	Esrrb,Fosl2,Foxc1,Id1,Jun,Mycn,Nanog,Nr0b1,Pou5f1,Sall4,Sox2
sridharan_FBS	inferelator	normalized	5000	mESC_KDUnion	10	Esrrb,Fosl2,Foxc1,Id1,Jarid2,Nanog,Nr0b1,Sall4,Sox2,Zic1
sridharan_FBS	inferelator	normalized	10000	mESC_KDUnion	11	Esrrb,Fosl2,Foxc1,Id1,Jarid2,Jun,Nanog,Nr0b1,Sall4,Sox11,Sox2
sridharan_FBS	inferelator	normalized	50000	mESC_KDUnion	12	Esrrb,Fosl2,Foxc1,Id1,Jarid2,Jun,Mef2c,Nanog,Nr0b1,Pou5f1,Sall4,Sox2
sridharan_FBS	inferelator	normalized	5000	mESC_chipunion_KDUnion_intersect	6	Esrrb,Nanog,Nr0b1,Pou5f1,Sall4,Sox2
sridharan_FBS	inferelator	normalized	10000	mESC_chipunion_KDUnion_intersect	6	Esrrb,Nanog,Nr0b1,Pou5f1,Sall4,Sox2
sridharan_FBS	inferelator	normalized	50000	mESC_chipunion_KDUnion_intersect	3	Pou5f1,Sall4,Sox2
sridharan_FBS	inferelator	normalized	5000	mESC_ATAC_Day4Day6Union	2	Fosl2,Yy1
sridharan_FBS	inferelator	normalized	10000	mESC_ATAC_Day4Day6Union	3	Fosl2,Sox2,Yy1
sridharan_FBS	inferelator	normalized	50000	mESC_ATAC_Day4Day6Union	3	Fosl2,Sox2,Yy1
sridharan_FBS	inferelator	normalized	5000	mESC_lit	0	NA
sridharan_FBS	inferelator	normalized	10000	mESC_lit	0	NA
sridharan_FBS	inferelator	normalized	50000	mESC_lit	0	NA
shalek_GSE48968	inferelator	normalized	5000	mDC_chipunion	11	Atf3,Atf4,Egr1,Egr2,Irf2,Nfkb1,Rel,Relb,Stat1,Stat2,Stat3
shalek_GSE48968	inferelator	normalized	10000	mDC_chipunion	9	Atf3,Cebpb,Egr1,Egr2,Irf2,Nfkb1,Rel,Relb,Stat2
shalek_GSE48968	inferelator	normalized	50000	mDC_chipunion	7	Egr1,Egr2,Nfkb1,Rel,Relb,Stat2,Stat3
shalek_GSE48968	inferelator	normalized	5000	mDC_KDUnion	6	Atf3,Cebpb,Hsp90b1,Jak2,Nfkb1,Stat1
shalek_GSE48968	inferelator	normalized	10000	mDC_KDUnion	5	Atf3,Cebpb,Jak2,Nfkb1,Stat1
shalek_GSE48968	inferelator	normalized	50000	mDC_KDUnion	3	Atf3,Cebpb,Nfkb1
shalek_GSE48968	inferelator	normalized	5000	mDC_chipunion_KDUnion_intersect	10	Atf3,Cebpb,Egr2,Irf2,Nfkb1,Rel,Relb,Stat1,Stat2,Stat3
shalek_GSE48968	inferelator	normalized	10000	mDC_chipunion_KDUnion_intersect	9	Atf3,Cebpb,Egr2,Irf2,Nfkb1,Rel,Relb,Stat1,Stat2
shalek_GSE48968	inferelator	normalized	50000	mDC_chipunion_KDUnion_intersect	6	Egr2,Nfkb1,Rel,Relb,Stat1,Stat2
zhao_GSE114952	inferelator	normalized	5000	mESC_escapechip	7	Chd1,Chd7,E2f4,Klf2,Nanog,Sox2,Zfx
zhao_GSE114952	inferelator	normalized	10000	mESC_escapechip	6	Chd1,E2f4,Klf2,Nanog,Sox2,Zfx
zhao_GSE114952	inferelator	normalized	50000	mESC_escapechip	4	Klf2,Nanog,Sox2,Zfx
zhao_GSE114952	inferelator	normalized	5000	mESC_encodechip	0	NA
zhao_GSE114952	inferelator	normalized	10000	mESC_encodechip	1	Pou5f1
zhao_GSE114952	inferelator	normalized	50000	mESC_encodechip	0	NA
zhao_GSE114952	inferelator	normalized	5000	mESC_chipunion	7	Chd1,Chd7,E2f4,Klf2,Nanog,Sox2,Zfx
zhao_GSE114952	inferelator	normalized	10000	mESC_chipunion	6	Chd1,E2f4,Klf2,Nanog,Sox2,Zfx
zhao_GSE114952	inferelator	normalized	50000	mESC_chipunion	4	Klf2,Nanog,Sox2,Zfx
zhao_GSE114952	inferelator	normalized	5000	mESC_logof	4	Gata3,Nanog,Pou5f1,Sox2
zhao_GSE114952	inferelator	normalized	10000	mESC_logof	4	Gata3,Nanog,Pou5f1,Sox2
zhao_GSE114952	inferelator	normalized	50000	mESC_logof	6	Eomes,Gata3,Nanog,Otx2,Pou5f1,Sox2
zhao_GSE114952	inferelator	normalized	5000	mESC_nishiyama	9	Atf3,Cdx2,Etv5,Gata2,Gata3,Nanog,Pou5f1,Sox11,Sox2
zhao_GSE114952	inferelator	normalized	10000	mESC_nishiyama	9	Atf3,Cdx2,Esrrb,Gata2,Gata3,Nanog,Pou5f1,Sox11,Sox2
zhao_GSE114952	inferelator	normalized	50000	mESC_nishiyama	12	Atf3,Cdx2,Eomes,Esrrb,Etv5,Gata2,Gata3,Nanog,Otx2,Pou5f1,Sox11,Sox2
zhao_GSE114952	inferelator	normalized	5000	mESC_KDUnion	11	Atf3,Cdx2,Esrrb,Etv5,Gata2,Gata3,Nanog,Pou5f1,Sox11,Sox17,Sox2
zhao_GSE114952	inferelator	normalized	10000	mESC_KDUnion	10	Atf3,Cdx2,Esrrb,Gata2,Gata3,Nanog,Pou5f1,Sox11,Sox17,Sox2
zhao_GSE114952	inferelator	normalized	50000	mESC_KDUnion	13	Atf3,Cdx2,Eomes,Esrrb,Etv5,Gata2,Gata3,Nanog,Nr0b1,Otx2,Pou5f1,Sox11,Sox2
zhao_GSE114952	inferelator	normalized	5000	mESC_chipunion_KDUnion_intersect	4	Esrrb,Nanog,Pou5f1,Sox2
zhao_GSE114952	inferelator	normalized	10000	mESC_chipunion_KDUnion_intersect	4	Esrrb,Nanog,Pou5f1,Sox2
zhao_GSE114952	inferelator	normalized	50000	mESC_chipunion_KDUnion_intersect	3	Nanog,Pou5f1,Sox2
zhao_GSE114952	inferelator	normalized	5000	mESC_ATAC_Day4Day6Union	0	NA
zhao_GSE114952	inferelator	normalized	10000	mESC_ATAC_Day4Day6Union	1	Zfx
zhao_GSE114952	inferelator	normalized	50000	mESC_ATAC_Day4Day6Union	1	Zfx
zhao_GSE114952	inferelator	normalized	5000	mESC_lit	0	NA
zhao_GSE114952	inferelator	normalized	10000	mESC_lit	0	NA
zhao_GSE114952	inferelator	normalized	50000	mESC_lit	0	NA
jackson_GSE125162	inferelator	normalized	5000	hu	1	YDL048C
jackson_GSE125162	inferelator	normalized	10000	hu	1	YDL048C
jackson_GSE125162	inferelator	normalized	50000	hu	1	YDL048C
jackson_GSE125162	inferelator	normalized	5000	mac2	4	YDR253C,YEL009C,YKL109W,YKL185W
jackson_GSE125162	inferelator	normalized	10000	mac2	6	YDR253C,YEL009C,YER111C,YFL021W,YKL109W,YKL185W
jackson_GSE125162	inferelator	normalized	50000	mac2	4	YEL009C,YER111C,YFL021W,YKL109W
jackson_GSE125162	inferelator	normalized	5000	yeastract_c3	6	YDR253C,YEL009C,YFL021W,YKL109W,YKR034W,YMR280C
jackson_GSE125162	inferelator	normalized	10000	yeastract_c3	7	YDR253C,YEL009C,YFL021W,YIR017C,YKL109W,YKR034W,YMR280C
jackson_GSE125162	inferelator	normalized	50000	yeastract_c3	6	YEL009C,YFL021W,YIR017C,YKL109W,YKR034W,YMR280C
jackson_GSE125162	inferelator	normalized	5000	yeastract_t2	8	YDR253C,YEL009C,YFL021W,YIR017C,YIR033W,YKL109W,YKR034W,YMR280C
jackson_GSE125162	inferelator	normalized	10000	yeastract_t2	7	YDR253C,YEL009C,YFL021W,YIR017C,YKL109W,YKR034W,YMR280C
jackson_GSE125162	inferelator	normalized	50000	yeastract_t2	7	YDR253C,YEL009C,YFL021W,YIR017C,YKL109W,YKR034W,YMR280C
jackson_GSE125162	inferelator	normalized	5000	yeast_chipunion	7	YDR253C,YEL009C,YIR017C,YJL089W,YKL109W,YKL185W,YMR280C
jackson_GSE125162	inferelator	normalized	10000	yeast_chipunion	7	YDR253C,YEL009C,YIR017C,YKL043W,YKL109W,YKL185W,YMR280C
jackson_GSE125162	inferelator	normalized	50000	yeast_chipunion	7	YDR253C,YEL009C,YFL021W,YIR017C,YKL043W,YKL109W,YKL185W
jackson_GSE125162	inferelator	normalized	5000	yeast_KDUnion	10	YDL020C,YDL048C,YDR253C,YIL101C,YKL109W,YKL185W,YKR034W,YMR280C,YOR344C,YPR065W
jackson_GSE125162	inferelator	normalized	10000	yeast_KDUnion	9	YDL020C,YDL048C,YDR253C,YEL009C,YIL101C,YKL109W,YKR034W,YMR280C,YPR065W
jackson_GSE125162	inferelator	normalized	50000	yeast_KDUnion	12	YDL020C,YDL048C,YDR253C,YDR310C,YEL009C,YIL101C,YIR017C,YKL109W,YKL185W,YKR034W,YMR280C,YPR065W
jackson_GSE125162	inferelator	normalized	5000	yeast_chipunion_KDUnion_intersect	2	YDR253C,YKL109W
jackson_GSE125162	inferelator	normalized	10000	yeast_chipunion_KDUnion_intersect	2	YDR253C,YKL109W
jackson_GSE125162	inferelator	normalized	50000	yeast_chipunion_KDUnion_intersect	1	YKL109W
gasch_GSE102475	knnDREMI	normalized	5000	hu	0	NA
gasch_GSE102475	knnDREMI	normalized	10000	hu	0	NA
gasch_GSE102475	knnDREMI	normalized	50000	hu	0	NA
gasch_GSE102475	knnDREMI	normalized	5000	mac2	0	NA
gasch_GSE102475	knnDREMI	normalized	10000	mac2	0	NA
gasch_GSE102475	knnDREMI	normalized	50000	mac2	0	NA
gasch_GSE102475	knnDREMI	normalized	5000	yeastract_c3	1	YMR037C
gasch_GSE102475	knnDREMI	normalized	10000	yeastract_c3	1	YMR037C
gasch_GSE102475	knnDREMI	normalized	50000	yeastract_c3	1	YMR037C
gasch_GSE102475	knnDREMI	normalized	5000	yeastract_t2	1	YMR037C
gasch_GSE102475	knnDREMI	normalized	10000	yeastract_t2	2	YMR037C,YPL038W
gasch_GSE102475	knnDREMI	normalized	50000	yeastract_t2	2	YBR083W,YNL068C
gasch_GSE102475	knnDREMI	normalized	5000	yeast_chipunion	1	YMR037C
gasch_GSE102475	knnDREMI	normalized	10000	yeast_chipunion	1	YMR037C
gasch_GSE102475	knnDREMI	normalized	50000	yeast_chipunion	0	NA
gasch_GSE102475	knnDREMI	normalized	5000	yeast_KDUnion	1	YMR037C
gasch_GSE102475	knnDREMI	normalized	10000	yeast_KDUnion	3	YEL009C,YIL101C,YMR037C
gasch_GSE102475	knnDREMI	normalized	50000	yeast_KDUnion	3	YDR096W,YIL101C,YMR037C
gasch_GSE102475	knnDREMI	normalized	5000	yeast_chipunion_KDUnion_intersect	2	YMR037C,YMR043W
gasch_GSE102475	knnDREMI	normalized	10000	yeast_chipunion_KDUnion_intersect	2	YMR043W,YNL068C
gasch_GSE102475	knnDREMI	normalized	50000	yeast_chipunion_KDUnion_intersect	2	YLR131C,YNL068C
han_GSE107552	knnDREMI	normalized	5000	hESC_encodechip	1	GABPA
han_GSE107552	knnDREMI	normalized	10000	hESC_encodechip	1	GABPA
han_GSE107552	knnDREMI	normalized	50000	hESC_encodechip	3	CBX8,GABPA,TAF7
han_GSE107552	knnDREMI	normalized	5000	hESC_escapechip	1	PHC1
han_GSE107552	knnDREMI	normalized	10000	hESC_escapechip	1	PHC1
han_GSE107552	knnDREMI	normalized	50000	hESC_escapechip	1	PHC1
han_GSE107552	knnDREMI	normalized	5000	hESC_chipunion	0	NA
han_GSE107552	knnDREMI	normalized	10000	hESC_chipunion	2	GABPA,PHC1
han_GSE107552	knnDREMI	normalized	50000	hESC_chipunion	2	GABPA,PHC1
han_GSE107552	knnDREMI	normalized	5000	hESC_logof	5	DPPA5,EOMES,FOXJ2,GATA3,NR5A2
han_GSE107552	knnDREMI	normalized	10000	hESC_logof	8	AES,DPPA5,EOMES,FOXJ2,GATA3,NR5A2,NRIP1,T
han_GSE107552	knnDREMI	normalized	50000	hESC_logof	18	AES,CBX8,DPPA5,EOMES,ETV3,FOXJ2,GATA3,NANOG,NR5A2,NRIP1,PRDM14,SMAD7,SOX9,T,TBX3,TCEA3,TCF7L2,ZFAND3
han_GSE107552	knnDREMI	normalized	5000	hESC_nishiyama	5	CDX2,EOMES,GATA3,GBX2,HNF4A
han_GSE107552	knnDREMI	normalized	10000	hESC_nishiyama	6	EOMES,GATA3,GBX2,HESX1,HNF4A,OTX1
han_GSE107552	knnDREMI	normalized	50000	hESC_nishiyama	18	BCL6,ELF1,EOMES,ETS1,GATA2,GATA3,GBX2,HNF4A,IRF2,LHX2,NANOG,NR2F2,NR5A2,NRIP1,OTX1,SOX15,SOX7,T
han_GSE107552	knnDREMI	normalized	5000	hESC_KDUnion	6	CDX2,EOMES,GATA3,GBX2,HNF4A,NR5A2
han_GSE107552	knnDREMI	normalized	10000	hESC_KDUnion	9	DPPA5,EOMES,FOXJ2,GATA3,GBX2,HESX1,HNF4A,NR5A2,OTX1
han_GSE107552	knnDREMI	normalized	50000	hESC_KDUnion	21	AES,BCL6,DPPA5,ELF1,EOMES,ETS1,FOXJ2,GATA2,GATA3,GBX2,HNF4A,IRF2,LHX2,NR2F2,NR5A2,NRIP1,OTX1,PRDM14,SOX15,SOX7,T
han_GSE107552	knnDREMI	normalized	5000	hESC_chipunion_KDUnion_intersect	0	NA
han_GSE107552	knnDREMI	normalized	10000	hESC_chipunion_KDUnion_intersect	0	NA
han_GSE107552	knnDREMI	normalized	50000	hESC_chipunion_KDUnion_intersect	1	CBX8
han_GSE107552	knnDREMI	normalized	5000	hESC_lit	0	NA
han_GSE107552	knnDREMI	normalized	10000	hESC_lit	0	NA
han_GSE107552	knnDREMI	normalized	50000	hESC_lit	0	NA
sridharan_A2S	knnDREMI	normalized	5000	mESC_escapechip	3	Jarid2,Klf2,Phc1
sridharan_A2S	knnDREMI	normalized	10000	mESC_escapechip	5	Eed,Jarid2,Klf2,Phc1,Suz12
sridharan_A2S	knnDREMI	normalized	50000	mESC_escapechip	7	Chd7,Eed,Ezh2,Jarid2,Phc1,Rnf2,Suz12
sridharan_A2S	knnDREMI	normalized	5000	mESC_encodechip	0	NA
sridharan_A2S	knnDREMI	normalized	10000	mESC_encodechip	0	NA
sridharan_A2S	knnDREMI	normalized	50000	mESC_encodechip	0	NA
sridharan_A2S	knnDREMI	normalized	5000	mESC_chipunion	3	Jarid2,Klf2,Phc1
sridharan_A2S	knnDREMI	normalized	10000	mESC_chipunion	5	Eed,Jarid2,Klf2,Phc1,Suz12
sridharan_A2S	knnDREMI	normalized	50000	mESC_chipunion	7	Chd7,Eed,Ezh2,Jarid2,Phc1,Rnf2,Suz12
sridharan_A2S	knnDREMI	normalized	5000	mESC_logof	7	Cbx8,Gata3,Mybl2,Nrip1,Sall4,Sox9,Tcea3
sridharan_A2S	knnDREMI	normalized	10000	mESC_logof	10	Ascl2,Cbx8,Dppa5a,Gata3,Mybl2,Nrip1,Sall4,Sox2,Sox9,Tcea3
sridharan_A2S	knnDREMI	normalized	50000	mESC_logof	19	Ascl2,Cbx8,Dppa5a,Eomes,Gata3,Klf4,Mef2c,Mybl2,Mycn,Nr5a2,Nrip1,Pou5f1,Sall4,Sox2,Sox9,Suz12,Tcea3,Tcf3,Zfp42
sridharan_A2S	knnDREMI	normalized	5000	mESC_nishiyama	5	Gata2,Gata3,Nr2f1,Pou5f1,Sall4
sridharan_A2S	knnDREMI	normalized	10000	mESC_nishiyama	9	Gata2,Gata3,Nr2f1,Nr2f2,Nr6a1,Nrip1,Pou5f1,Sall4,Sox9
sridharan_A2S	knnDREMI	normalized	50000	mESC_nishiyama	21	Ascl2,Bcl6,Cbx8,Dppa2,Eomes,Esrrb,Ets1,Gata2,Gata3,Hoxa9,Mef2c,Mycn,Nanog,Nr2f1,Nr2f2,Nr6a1,Nrip1,Pou5f1,Sall4,Sox2,Sox9
sridharan_A2S	knnDREMI	normalized	5000	mESC_KDUnion	6	Gata2,Gata3,Nr2f1,Nr2f2,Pou5f1,Sall4
sridharan_A2S	knnDREMI	normalized	10000	mESC_KDUnion	11	Gata2,Gata3,Nr2f1,Nr2f2,Nr6a1,Nrip1,Pou5f1,Sall4,Sox2,Sox9,Tcea3
sridharan_A2S	knnDREMI	normalized	50000	mESC_KDUnion	24	Ascl2,Bcl6,Cbx8,Dppa2,Dppa5a,Eomes,Esrrb,Ets1,Gata2,Gata3,Hoxa9,Mef2c,Mybl2,Mycn,Nr2f1,Nr2f2,Nr6a1,Nrip1,Pou5f1,Sall4,Sox2,Sox9,Tcea3,Zfp42
sridharan_A2S	knnDREMI	normalized	5000	mESC_chipunion_KDUnion_intersect	1	Jarid2
sridharan_A2S	knnDREMI	normalized	10000	mESC_chipunion_KDUnion_intersect	2	Jarid2,Suz12
sridharan_A2S	knnDREMI	normalized	50000	mESC_chipunion_KDUnion_intersect	2	Jarid2,Suz12
sridharan_A2S	knnDREMI	normalized	5000	mESC_ATAC_Day4Day6Union	0	NA
sridharan_A2S	knnDREMI	normalized	10000	mESC_ATAC_Day4Day6Union	0	NA
sridharan_A2S	knnDREMI	normalized	50000	mESC_ATAC_Day4Day6Union	0	NA
sridharan_A2S	knnDREMI	normalized	5000	mESC_lit	0	NA
sridharan_A2S	knnDREMI	normalized	10000	mESC_lit	0	NA
sridharan_A2S	knnDREMI	normalized	50000	mESC_lit	0	NA
sridharan_FBS	knnDREMI	normalized	5000	mESC_escapechip	4	Jarid2,Klf2,Phc1,Suz12
sridharan_FBS	knnDREMI	normalized	10000	mESC_escapechip	5	Eed,Jarid2,Klf2,Phc1,Suz12
sridharan_FBS	knnDREMI	normalized	50000	mESC_escapechip	6	Eed,Ezh2,Jarid2,Phc1,Suz12,Zfx
sridharan_FBS	knnDREMI	normalized	5000	mESC_encodechip	0	NA
sridharan_FBS	knnDREMI	normalized	10000	mESC_encodechip	0	NA
sridharan_FBS	knnDREMI	normalized	50000	mESC_encodechip	0	NA
