dataset	algorithm	proc	n_edges	GS_src	precision	recall	fscore
gasch_GSE102475	inferelator	normalized	500	yeastract_t2	0.0260	0.0051	0.0085
gasch_GSE102475	inferelator	normalized	1000	yeastract_t2	0.0280	0.0109	0.0157
gasch_GSE102475	inferelator	normalized	3000	yeastract_t2	0.0327	0.0382	0.0352
gasch_GSE102475	inferelator	normalized	5000	yeastract_t2	0.0312	0.0608	0.0412
gasch_GSE102475	inferelator	normalized	10000	yeastract_t2	0.0274	0.1067	0.0436
gasch_GSE102475	inferelator	normalized	30000	yeastract_t2	0.0165	0.1928	0.0304
gasch_GSE102475	inferelator	normalized	50000	yeastract_t2	0.0176	0.3420	0.0334
gasch_GSE102475	inferelator	normalized	100	yeast_chipunion	0.0400	0.0003	0.0006
gasch_GSE102475	inferelator	normalized	300	yeast_chipunion	0.0300	0.0007	0.0014
gasch_GSE102475	inferelator	normalized	500	yeast_chipunion	0.0360	0.0015	0.0028
gasch_GSE102475	inferelator	normalized	1000	yeast_chipunion	0.0340	0.0028	0.0051
gasch_GSE102475	inferelator	normalized	3000	yeast_chipunion	0.0337	0.0082	0.0132
gasch_GSE102475	inferelator	normalized	5000	yeast_chipunion	0.0342	0.0139	0.0197
gasch_GSE102475	inferelator	normalized	10000	yeast_chipunion	0.0360	0.0292	0.0323
gasch_GSE102475	inferelator	normalized	30000	yeast_chipunion	0.0347	0.0846	0.0492
gasch_GSE102475	inferelator	normalized	50000	yeast_chipunion	0.0451	0.1830	0.0723
gasch_GSE102475	inferelator	normalized	100	yeast_KDUnion	0.0600	0.0004	0.0007
gasch_GSE102475	inferelator	normalized	300	yeast_KDUnion	0.0533	0.0010	0.0019
gasch_GSE102475	inferelator	normalized	500	yeast_KDUnion	0.0480	0.0015	0.0028
gasch_GSE102475	inferelator	normalized	1000	yeast_KDUnion	0.0430	0.0026	0.0049
gasch_GSE102475	inferelator	normalized	3000	yeast_KDUnion	0.0347	0.0063	0.0107
gasch_GSE102475	inferelator	normalized	5000	yeast_KDUnion	0.0376	0.0115	0.0176
gasch_GSE102475	inferelator	normalized	10000	yeast_KDUnion	0.0376	0.0229	0.0285
gasch_GSE102475	inferelator	normalized	30000	yeast_KDUnion	0.0347	0.0635	0.0449
gasch_GSE102475	inferelator	normalized	50000	yeast_KDUnion	0.0348	0.1060	0.0524
gasch_GSE102475	inferelator	normalized	100	yeast_chipunion_KDUnion_intersect	0.0300	0.0017	0.0032
gasch_GSE102475	inferelator	normalized	300	yeast_chipunion_KDUnion_intersect	0.0267	0.0045	0.0076
gasch_GSE102475	inferelator	normalized	500	yeast_chipunion_KDUnion_intersect	0.0260	0.0072	0.0113
gasch_GSE102475	inferelator	normalized	1000	yeast_chipunion_KDUnion_intersect	0.0310	0.0173	0.0222
gasch_GSE102475	inferelator	normalized	3000	yeast_chipunion_KDUnion_intersect	0.0283	0.0474	0.0355
gasch_GSE102475	inferelator	normalized	5000	yeast_chipunion_KDUnion_intersect	0.0278	0.0774	0.0409
gasch_GSE102475	inferelator	normalized	10000	yeast_chipunion_KDUnion_intersect	0.0212	0.1181	0.0359
gasch_GSE102475	inferelator	normalized	30000	yeast_chipunion_KDUnion_intersect	0.0194	0.3237	0.0365
gasch_GSE102475	inferelator	normalized	50000	yeast_chipunion_KDUnion_intersect	0.0167	0.4663	0.0323
han_GSE107552	inferelator	normalized	100	hESC_encodechip	0.4600	0.0004	0.0007
han_GSE107552	inferelator	normalized	300	hESC_encodechip	0.4267	0.0010	0.0020
han_GSE107552	inferelator	normalized	500	hESC_encodechip	0.4180	0.0016	0.0033
han_GSE107552	inferelator	normalized	1000	hESC_encodechip	0.4460	0.0035	0.0069
han_GSE107552	inferelator	normalized	3000	hESC_encodechip	0.4543	0.0107	0.0209
han_GSE107552	inferelator	normalized	5000	hESC_encodechip	0.4510	0.0177	0.0340
han_GSE107552	inferelator	normalized	10000	hESC_encodechip	0.4447	0.0348	0.0646
han_GSE107552	inferelator	normalized	30000	hESC_encodechip	0.3835	0.0901	0.1459
han_GSE107552	inferelator	normalized	50000	hESC_encodechip	0.3181	0.1246	0.1791
han_GSE107552	inferelator	normalized	100	hESC_escapechip	0.4600	0.0011	0.0023
han_GSE107552	inferelator	normalized	300	hESC_escapechip	0.3633	0.0027	0.0053
han_GSE107552	inferelator	normalized	500	hESC_escapechip	0.3300	0.0040	0.0080
han_GSE107552	inferelator	normalized	1000	hESC_escapechip	0.2990	0.0073	0.0143
han_GSE107552	inferelator	normalized	3000	hESC_escapechip	0.2317	0.0170	0.0317
han_GSE107552	inferelator	normalized	5000	hESC_escapechip	0.2044	0.0251	0.0446
han_GSE107552	inferelator	normalized	10000	hESC_escapechip	0.1833	0.0449	0.0722
han_GSE107552	inferelator	normalized	30000	hESC_escapechip	0.0868	0.0639	0.0736
han_GSE107552	inferelator	normalized	50000	hESC_escapechip	0.1261	0.1546	0.1389
han_GSE107552	inferelator	normalized	100	hESC_chipunion	0.6000	0.0004	0.0007
han_GSE107552	inferelator	normalized	300	hESC_chipunion	0.5000	0.0009	0.0019
han_GSE107552	inferelator	normalized	500	hESC_chipunion	0.4580	0.0014	0.0029
han_GSE107552	inferelator	normalized	1000	hESC_chipunion	0.4410	0.0028	0.0055
han_GSE107552	inferelator	normalized	3000	hESC_chipunion	0.4150	0.0078	0.0153
han_GSE107552	inferelator	normalized	5000	hESC_chipunion	0.4010	0.0125	0.0243
han_GSE107552	inferelator	normalized	10000	hESC_chipunion	0.3664	0.0229	0.0431
han_GSE107552	inferelator	normalized	30000	hESC_chipunion	0.3775	0.0708	0.1192
han_GSE107552	inferelator	normalized	50000	hESC_chipunion	0.2724	0.0851	0.1297
han_GSE107552	inferelator	normalized	100	hESC_logof	0.3400	0.0008	0.0017
han_GSE107552	inferelator	normalized	300	hESC_logof	0.3467	0.0025	0.0050
han_GSE107552	inferelator	normalized	500	hESC_logof	0.3420	0.0042	0.0082
han_GSE107552	inferelator	normalized	1000	hESC_logof	0.3150	0.0077	0.0150
han_GSE107552	inferelator	normalized	3000	hESC_logof	0.2407	0.0176	0.0328
han_GSE107552	inferelator	normalized	5000	hESC_logof	0.2128	0.0260	0.0463
han_GSE107552	inferelator	normalized	10000	hESC_logof	0.1727	0.0422	0.0678
han_GSE107552	inferelator	normalized	30000	hESC_logof	0.1272	0.0931	0.1075
han_GSE107552	inferelator	normalized	50000	hESC_logof	0.0863	0.1053	0.0949
han_GSE107552	inferelator	normalized	100	hESC_nishiyama	0.1700	0.0003	0.0006
han_GSE107552	inferelator	normalized	300	hESC_nishiyama	0.1267	0.0006	0.0013
han_GSE107552	inferelator	normalized	500	hESC_nishiyama	0.1360	0.0011	0.0022
han_GSE107552	inferelator	normalized	1000	hESC_nishiyama	0.1470	0.0024	0.0048
han_GSE107552	inferelator	normalized	3000	hESC_nishiyama	0.1183	0.0059	0.0112
han_GSE107552	inferelator	normalized	5000	hESC_nishiyama	0.1060	0.0088	0.0162
han_GSE107552	inferelator	normalized	10000	hESC_nishiyama	0.0919	0.0152	0.0262
han_GSE107552	inferelator	normalized	30000	hESC_nishiyama	0.0747	0.0372	0.0496
han_GSE107552	inferelator	normalized	50000	hESC_nishiyama	0.0510	0.0423	0.0463
han_GSE107552	inferelator	normalized	100	hESC_KDUnion	0.1700	0.0002	0.0004
han_GSE107552	inferelator	normalized	300	hESC_KDUnion	0.1467	0.0006	0.0011
han_GSE107552	inferelator	normalized	500	hESC_KDUnion	0.1700	0.0011	0.0022
han_GSE107552	inferelator	normalized	1000	hESC_KDUnion	0.1770	0.0023	0.0046
han_GSE107552	inferelator	normalized	3000	hESC_KDUnion	0.1613	0.0063	0.0122
han_GSE107552	inferelator	normalized	5000	hESC_KDUnion	0.1420	0.0093	0.0175
han_GSE107552	inferelator	normalized	10000	hESC_KDUnion	0.1234	0.0162	0.0286
han_GSE107552	inferelator	normalized	30000	hESC_KDUnion	0.0978	0.0385	0.0552
han_GSE107552	inferelator	normalized	50000	hESC_KDUnion	0.0722	0.0473	0.0572
han_GSE107552	inferelator	normalized	100	hESC_chipunion_KDUnion_intersect	0.3700	0.0044	0.0086
han_GSE107552	inferelator	normalized	300	hESC_chipunion_KDUnion_intersect	0.3167	0.0112	0.0217
han_GSE107552	inferelator	normalized	500	hESC_chipunion_KDUnion_intersect	0.2940	0.0174	0.0328
han_GSE107552	inferelator	normalized	1000	hESC_chipunion_KDUnion_intersect	0.2390	0.0282	0.0505
han_GSE107552	inferelator	normalized	3000	hESC_chipunion_KDUnion_intersect	0.1490	0.0528	0.0780
han_GSE107552	inferelator	normalized	5000	hESC_chipunion_KDUnion_intersect	0.1212	0.0716	0.0900
han_GSE107552	inferelator	normalized	10000	hESC_chipunion_KDUnion_intersect	0.0740	0.0874	0.0802
han_GSE107552	inferelator	normalized	30000	hESC_chipunion_KDUnion_intersect	0.0416	0.1475	0.0649
han_GSE107552	inferelator	normalized	50000	hESC_chipunion_KDUnion_intersect	0.0609	0.3597	0.1041
han_GSE107552	inferelator	normalized	100	hESC_lit	0.2500	0.1101	0.1529
han_GSE107552	inferelator	normalized	300	hESC_lit	0.1233	0.1630	0.1404
han_GSE107552	inferelator	normalized	500	hESC_lit	0.0820	0.1806	0.1128
han_GSE107552	inferelator	normalized	1000	hESC_lit	0.1090	0.4802	0.1777
han_GSE107552	inferelator	normalized	3000	hESC_lit	0.0922	0.9868	0.1686
han_GSE107552	inferelator	normalized	5000	hESC_lit	0.0922	0.9868	0.1686
han_GSE107552	inferelator	normalized	10000	hESC_lit	0.0922	0.9868	0.1686
han_GSE107552	inferelator	normalized	30000	hESC_lit	0.0922	0.9868	0.1686
han_GSE107552	inferelator	normalized	50000	hESC_lit	0.0922	0.9868	0.1686
sridharan_A2S	inferelator	normalized	100	mESC_escapechip	0.4300	0.0011	0.0022
sridharan_A2S	inferelator	normalized	300	mESC_escapechip	0.3767	0.0029	0.0057
sridharan_A2S	inferelator	normalized	500	mESC_escapechip	0.3320	0.0042	0.0084
sridharan_A2S	inferelator	normalized	1000	mESC_escapechip	0.2800	0.0071	0.0139
sridharan_A2S	inferelator	normalized	3000	mESC_escapechip	0.2427	0.0186	0.0345
sridharan_A2S	inferelator	normalized	5000	mESC_escapechip	0.2266	0.0289	0.0513
sridharan_A2S	inferelator	normalized	10000	mESC_escapechip	0.2089	0.0533	0.0849
sridharan_A2S	inferelator	normalized	30000	mESC_escapechip	0.1665	0.1274	0.1443
sridharan_A2S	inferelator	normalized	50000	mESC_escapechip	0.1888	0.2407	0.2116
sridharan_A2S	inferelator	normalized	100	mESC_encodechip	0.4900	0.0192	0.0370
sridharan_A2S	inferelator	normalized	300	mESC_encodechip	0.4033	0.0474	0.0849
sridharan_A2S	inferelator	normalized	500	mESC_encodechip	0.3500	0.0686	0.1147
sridharan_A2S	inferelator	normalized	1000	mESC_encodechip	0.3200	0.1254	0.1802
sridharan_A2S	inferelator	normalized	3000	mESC_encodechip	0.2953	0.3472	0.3192
sridharan_A2S	inferelator	normalized	5000	mESC_encodechip	0.2870	0.5623	0.3800
sridharan_A2S	inferelator	normalized	10000	mESC_encodechip	0.2231	0.8742	0.3555
sridharan_A2S	inferelator	normalized	30000	mESC_encodechip	0.1993	0.9992	0.3324
sridharan_A2S	inferelator	normalized	50000	mESC_encodechip	0.1993	0.9992	0.3324
sridharan_A2S	inferelator	normalized	100	mESC_chipunion	0.4400	0.0011	0.0022
sridharan_A2S	inferelator	normalized	300	mESC_chipunion	0.3833	0.0029	0.0057
sridharan_A2S	inferelator	normalized	500	mESC_chipunion	0.3400	0.0043	0.0084
sridharan_A2S	inferelator	normalized	1000	mESC_chipunion	0.2870	0.0072	0.0140
sridharan_A2S	inferelator	normalized	3000	mESC_chipunion	0.2480	0.0187	0.0347
sridharan_A2S	inferelator	normalized	5000	mESC_chipunion	0.2310	0.0290	0.0515
sridharan_A2S	inferelator	normalized	10000	mESC_chipunion	0.2126	0.0533	0.0852
sridharan_A2S	inferelator	normalized	30000	mESC_chipunion	0.1677	0.1262	0.1440
sridharan_A2S	inferelator	normalized	50000	mESC_chipunion	0.1895	0.2376	0.2108
sridharan_A2S	inferelator	normalized	100	mESC_logof	0.3800	0.0011	0.0022
sridharan_A2S	inferelator	normalized	300	mESC_logof	0.2767	0.0025	0.0049
sridharan_A2S	inferelator	normalized	500	mESC_logof	0.2540	0.0038	0.0074
sridharan_A2S	inferelator	normalized	1000	mESC_logof	0.2120	0.0063	0.0122
sridharan_A2S	inferelator	normalized	3000	mESC_logof	0.1793	0.0159	0.0293
sridharan_A2S	inferelator	normalized	5000	mESC_logof	0.1602	0.0237	0.0413
sridharan_A2S	inferelator	normalized	10000	mESC_logof	0.1290	0.0382	0.0590
sridharan_A2S	inferelator	normalized	30000	mESC_logof	0.0969	0.0861	0.0912
sridharan_A2S	inferelator	normalized	50000	mESC_logof	0.0951	0.1408	0.1135
sridharan_A2S	inferelator	normalized	100	mESC_nishiyama	0.1500	0.0003	0.0007
sridharan_A2S	inferelator	normalized	300	mESC_nishiyama	0.0933	0.0006	0.0012
sridharan_A2S	inferelator	normalized	500	mESC_nishiyama	0.0640	0.0007	0.0014
sridharan_A2S	inferelator	normalized	1000	mESC_nishiyama	0.0660	0.0015	0.0029
sridharan_A2S	inferelator	normalized	3000	mESC_nishiyama	0.0620	0.0041	0.0077
sridharan_A2S	inferelator	normalized	5000	mESC_nishiyama	0.0590	0.0065	0.0118
sridharan_A2S	inferelator	normalized	10000	mESC_nishiyama	0.0572	0.0127	0.0208
sridharan_A2S	inferelator	normalized	30000	mESC_nishiyama	0.0447	0.0298	0.0357
sridharan_A2S	inferelator	normalized	50000	mESC_nishiyama	0.0412	0.0457	0.0433
sridharan_A2S	inferelator	normalized	100	mESC_KDUnion	0.2400	0.0004	0.0008
sridharan_A2S	inferelator	normalized	300	mESC_KDUnion	0.1567	0.0008	0.0016
sridharan_A2S	inferelator	normalized	500	mESC_KDUnion	0.1200	0.0010	0.0021
sridharan_A2S	inferelator	normalized	1000	mESC_KDUnion	0.1170	0.0020	0.0040
sridharan_A2S	inferelator	normalized	3000	mESC_KDUnion	0.1010	0.0052	0.0100
sridharan_A2S	inferelator	normalized	5000	mESC_KDUnion	0.0960	0.0083	0.0153
sridharan_A2S	inferelator	normalized	10000	mESC_KDUnion	0.0878	0.0152	0.0259
sridharan_A2S	inferelator	normalized	30000	mESC_KDUnion	0.0666	0.0345	0.0455
sridharan_A2S	inferelator	normalized	50000	mESC_KDUnion	0.0542	0.0468	0.0502
sridharan_A2S	inferelator	normalized	100	mESC_chipunion_KDUnion_intersect	0.3100	0.0043	0.0085
sridharan_A2S	inferelator	normalized	300	mESC_chipunion_KDUnion_intersect	0.2300	0.0096	0.0185
sridharan_A2S	inferelator	normalized	500	mESC_chipunion_KDUnion_intersect	0.1720	0.0120	0.0225
sridharan_A2S	inferelator	normalized	1000	mESC_chipunion_KDUnion_intersect	0.1460	0.0204	0.0358
sridharan_A2S	inferelator	normalized	3000	mESC_chipunion_KDUnion_intersect	0.1117	0.0468	0.0660
sridharan_A2S	inferelator	normalized	5000	mESC_chipunion_KDUnion_intersect	0.0904	0.0631	0.0744
sridharan_A2S	inferelator	normalized	10000	mESC_chipunion_KDUnion_intersect	0.0477	0.0666	0.0556
sridharan_A2S	inferelator	normalized	30000	mESC_chipunion_KDUnion_intersect	0.0779	0.3263	0.1257
sridharan_A2S	inferelator	normalized	50000	mESC_chipunion_KDUnion_intersect	0.0650	0.4540	0.1137
sridharan_A2S	inferelator	normalized	100	mESC_ATAC_Day4Day6Union	0.1500	0.0004	0.0007
sridharan_A2S	inferelator	normalized	300	mESC_ATAC_Day4Day6Union	0.1800	0.0013	0.0025
sridharan_A2S	inferelator	normalized	500	mESC_ATAC_Day4Day6Union	0.1800	0.0021	0.0042
sridharan_A2S	inferelator	normalized	1000	mESC_ATAC_Day4Day6Union	0.1730	0.0040	0.0079
sridharan_A2S	inferelator	normalized	3000	mESC_ATAC_Day4Day6Union	0.1670	0.0117	0.0219
sridharan_A2S	inferelator	normalized	5000	mESC_ATAC_Day4Day6Union	0.1486	0.0173	0.0311
sridharan_A2S	inferelator	normalized	10000	mESC_ATAC_Day4Day6Union	0.1368	0.0319	0.0518
sridharan_A2S	inferelator	normalized	30000	mESC_ATAC_Day4Day6Union	0.0930	0.0651	0.0766
sridharan_A2S	inferelator	normalized	50000	mESC_ATAC_Day4Day6Union	0.0741	0.0864	0.0798
sridharan_A2S	inferelator	normalized	100	mESC_lit	0.2700	0.1357	0.1806
sridharan_A2S	inferelator	normalized	300	mESC_lit	0.1833	0.2764	0.2204
sridharan_A2S	inferelator	normalized	500	mESC_lit	0.1200	0.3015	0.1717
sridharan_A2S	inferelator	normalized	1000	mESC_lit	0.1260	0.6332	0.2102
sridharan_A2S	inferelator	normalized	3000	mESC_lit	0.1040	1.0000	0.1884
sridharan_A2S	inferelator	normalized	5000	mESC_lit	0.1040	1.0000	0.1884
sridharan_A2S	inferelator	normalized	10000	mESC_lit	0.1040	1.0000	0.1884
sridharan_A2S	inferelator	normalized	30000	mESC_lit	0.1040	1.0000	0.1884
sridharan_A2S	inferelator	normalized	50000	mESC_lit	0.1040	1.0000	0.1884
sridharan_FBS	inferelator	normalized	100	mESC_escapechip	0.3600	0.0009	0.0019
sridharan_FBS	inferelator	normalized	300	mESC_escapechip	0.2733	0.0022	0.0043
sridharan_FBS	inferelator	normalized	500	mESC_escapechip	0.2700	0.0035	0.0070
sridharan_FBS	inferelator	normalized	1000	mESC_escapechip	0.2580	0.0068	0.0132
sridharan_FBS	inferelator	normalized	3000	mESC_escapechip	0.2157	0.0170	0.0315
sridharan_FBS	inferelator	normalized	5000	mESC_escapechip	0.1974	0.0259	0.0458
sridharan_FBS	inferelator	normalized	10000	mESC_escapechip	0.1878	0.0493	0.0780
sridharan_FBS	inferelator	normalized	30000	mESC_escapechip	0.1561	0.1229	0.1375
sridharan_FBS	inferelator	normalized	50000	mESC_escapechip	0.1874	0.2458	0.2126
sridharan_FBS	inferelator	normalized	100	mESC_encodechip	0.5200	0.0205	0.0394
sridharan_FBS	inferelator	normalized	300	mESC_encodechip	0.4033	0.0476	0.0852
sridharan_FBS	inferelator	normalized	500	mESC_encodechip	0.3620	0.0712	0.1190
sridharan_FBS	inferelator	normalized	1000	mESC_encodechip	0.3290	0.1294	0.1858
sridharan_FBS	inferelator	normalized	3000	mESC_encodechip	0.2997	0.3537	0.3244
sridharan_FBS	inferelator	normalized	5000	mESC_encodechip	0.2886	0.5677	0.3827
sridharan_FBS	inferelator	normalized	10000	mESC_encodechip	0.2235	0.8792	0.3564
sridharan_FBS	inferelator	normalized	30000	mESC_encodechip	0.1987	0.9992	0.3315
sridharan_FBS	inferelator	normalized	50000	mESC_encodechip	0.1987	0.9992	0.3315
sridharan_FBS	inferelator	normalized	100	mESC_chipunion	0.3600	0.0009	0.0019
sridharan_FBS	inferelator	normalized	300	mESC_chipunion	0.2767	0.0021	0.0042
sridharan_FBS	inferelator	normalized	500	mESC_chipunion	0.2760	0.0036	0.0070
sridharan_FBS	inferelator	normalized	1000	mESC_chipunion	0.2610	0.0067	0.0131
sridharan_FBS	inferelator	normalized	3000	mESC_chipunion	0.2187	0.0169	0.0314
sridharan_FBS	inferelator	normalized	5000	mESC_chipunion	0.2006	0.0258	0.0458
sridharan_FBS	inferelator	normalized	10000	mESC_chipunion	0.1906	0.0491	0.0781
sridharan_FBS	inferelator	normalized	30000	mESC_chipunion	0.1570	0.1214	0.1369
sridharan_FBS	inferelator	normalized	50000	mESC_chipunion	0.1880	0.2422	0.2117
sridharan_FBS	inferelator	normalized	100	mESC_logof	0.3200	0.0010	0.0020
sridharan_FBS	inferelator	normalized	300	mESC_logof	0.2400	0.0023	0.0046
sridharan_FBS	inferelator	normalized	500	mESC_logof	0.2360	0.0038	0.0074
sridharan_FBS	inferelator	normalized	1000	mESC_logof	0.2200	0.0070	0.0136
sridharan_FBS	inferelator	normalized	3000	mESC_logof	0.1990	0.0191	0.0348
sridharan_FBS	inferelator	normalized	5000	mESC_logof	0.1714	0.0274	0.0472
sridharan_FBS	inferelator	normalized	10000	mESC_logof	0.1440	0.0460	0.0697
sridharan_FBS	inferelator	normalized	30000	mESC_logof	0.1016	0.0973	0.0994
sridharan_FBS	inferelator	normalized	50000	mESC_logof	0.0769	0.1228	0.0946
sridharan_FBS	inferelator	normalized	100	mESC_nishiyama	0.1000	0.0002	0.0005
sridharan_FBS	inferelator	normalized	300	mESC_nishiyama	0.0800	0.0006	0.0011
sridharan_FBS	inferelator	normalized	500	mESC_nishiyama	0.0760	0.0009	0.0017
sridharan_FBS	inferelator	normalized	1000	mESC_nishiyama	0.0750	0.0017	0.0034
sridharan_FBS	inferelator	normalized	3000	mESC_nishiyama	0.0737	0.0051	0.0096
sridharan_FBS	inferelator	normalized	5000	mESC_nishiyama	0.0716	0.0083	0.0149
sridharan_FBS	inferelator	normalized	10000	mESC_nishiyama	0.0654	0.0152	0.0246
sridharan_FBS	inferelator	normalized	30000	mESC_nishiyama	0.0529	0.0368	0.0434
sridharan_FBS	inferelator	normalized	50000	mESC_nishiyama	0.0373	0.0433	0.0401
sridharan_FBS	inferelator	normalized	100	mESC_KDUnion	0.1200	0.0002	0.0004
sridharan_FBS	inferelator	normalized	300	mESC_KDUnion	0.0933	0.0005	0.0010
sridharan_FBS	inferelator	normalized	500	mESC_KDUnion	0.0920	0.0008	0.0017
sridharan_FBS	inferelator	normalized	1000	mESC_KDUnion	0.0940	0.0017	0.0033
sridharan_FBS	inferelator	normalized	3000	mESC_KDUnion	0.1030	0.0056	0.0106
sridharan_FBS	inferelator	normalized	5000	mESC_KDUnion	0.1030	0.0093	0.0171
sridharan_FBS	inferelator	normalized	10000	mESC_KDUnion	0.0962	0.0174	0.0295
sridharan_FBS	inferelator	normalized	30000	mESC_KDUnion	0.0756	0.0411	0.0532
sridharan_FBS	inferelator	normalized	50000	mESC_KDUnion	0.0501	0.0454	0.0476
sridharan_FBS	inferelator	normalized	100	mESC_chipunion_KDUnion_intersect	0.2500	0.0036	0.0071
sridharan_FBS	inferelator	normalized	300	mESC_chipunion_KDUnion_intersect	0.1667	0.0072	0.0139
sridharan_FBS	inferelator	normalized	500	mESC_chipunion_KDUnion_intersect	0.1520	0.0110	0.0205
sridharan_FBS	inferelator	normalized	1000	mESC_chipunion_KDUnion_intersect	0.1590	0.0230	0.0402
sridharan_FBS	inferelator	normalized	3000	mESC_chipunion_KDUnion_intersect	0.1243	0.0539	0.0752
sridharan_FBS	inferelator	normalized	5000	mESC_chipunion_KDUnion_intersect	0.1088	0.0786	0.0913
sridharan_FBS	inferelator	normalized	10000	mESC_chipunion_KDUnion_intersect	0.0594	0.0859	0.0702
sridharan_FBS	inferelator	normalized	30000	mESC_chipunion_KDUnion_intersect	0.0808	0.3502	0.1313
sridharan_FBS	inferelator	normalized	50000	mESC_chipunion_KDUnion_intersect	0.0661	0.4780	0.1162
sridharan_FBS	inferelator	normalized	100	mESC_ATAC_Day4Day6Union	0.1700	0.0004	0.0008
sridharan_FBS	inferelator	normalized	300	mESC_ATAC_Day4Day6Union	0.1833	0.0013	0.0026
sridharan_FBS	inferelator	normalized	500	mESC_ATAC_Day4Day6Union	0.1860	0.0022	0.0043
sridharan_FBS	inferelator	normalized	1000	mESC_ATAC_Day4Day6Union	0.1760	0.0041	0.0081
sridharan_FBS	inferelator	normalized	3000	mESC_ATAC_Day4Day6Union	0.1640	0.0115	0.0216
sridharan_FBS	inferelator	normalized	5000	mESC_ATAC_Day4Day6Union	0.1550	0.0182	0.0325
sridharan_FBS	inferelator	normalized	10000	mESC_ATAC_Day4Day6Union	0.1433	0.0336	0.0544
sridharan_FBS	inferelator	normalized	30000	mESC_ATAC_Day4Day6Union	0.0945	0.0665	0.0780
sridharan_FBS	inferelator	normalized	50000	mESC_ATAC_Day4Day6Union	0.0752	0.0881	0.0811
sridharan_FBS	inferelator	normalized	100	mESC_lit	0.3500	0.1777	0.2357
sridharan_FBS	inferelator	normalized	300	mESC_lit	0.1867	0.2843	0.2254
sridharan_FBS	inferelator	normalized	500	mESC_lit	0.1240	0.3147	0.1779
sridharan_FBS	inferelator	normalized	1000	mESC_lit	0.1340	0.6802	0.2239
sridharan_FBS	inferelator	normalized	3000	mESC_lit	0.1045	1.0000	0.1892
sridharan_FBS	inferelator	normalized	5000	mESC_lit	0.1045	1.0000	0.1892
sridharan_FBS	inferelator	normalized	10000	mESC_lit	0.1045	1.0000	0.1892
sridharan_FBS	inferelator	normalized	30000	mESC_lit	0.1045	1.0000	0.1892
sridharan_FBS	inferelator	normalized	50000	mESC_lit	0.1045	1.0000	0.1892
shalek_GSE48968	inferelator	normalized	100	mDC_chipunion	0.8800	0.0009	0.0018
shalek_GSE48968	inferelator	normalized	300	mDC_chipunion	0.7800	0.0024	0.0048
shalek_GSE48968	inferelator	normalized	500	mDC_chipunion	0.7440	0.0039	0.0077
shalek_GSE48968	inferelator	normalized	1000	mDC_chipunion	0.6710	0.0070	0.0138
shalek_GSE48968	inferelator	normalized	3000	mDC_chipunion	0.5790	0.0180	0.0350
shalek_GSE48968	inferelator	normalized	5000	mDC_chipunion	0.5502	0.0285	0.0543
shalek_GSE48968	inferelator	normalized	10000	mDC_chipunion	0.5200	0.0540	0.0978
